AÑO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2026;03;46;Valencia/València;054;Benetússer;S ;SERVICIOS;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2026;03;46;Valencia/València;179;Navarrés;I ;INDUSTRIA;9;Ocupaciones elementales;H;Hombre;25-44;3
2026;03;46;Valencia/València;048;Bellreguard;C ;CONSTRUCCIÓN;9;Ocupaciones elementales;H;Hombre;25-44;1
2026;03;12;Castellón/Castelló;084;Onda;I ;INDUSTRIA;9;Ocupaciones elementales;M;Mujer;25-44;6
2026;03;46;Valencia/València;011;Alberic;S ;SERVICIOS;9;Ocupaciones elementales;M;Mujer;25-44;2
2026;03;46;Valencia/València;072;Bocairent;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;2
2026;03;46;Valencia/València;171;Montcada / Moncada;I ;INDUSTRIA;3;Técnicos, profesionales de apoyo;M;Mujer;>44  ;1
2026;03;46;Valencia/València;116;Eliana, l';S ;SERVICIOS;4;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;8
2026;03;46;Valencia/València;124;Fontanars dels Alforins;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;2
2026;03;03;Alicante/Alacant;041;Benissa;C ;CONSTRUCCIÓN;3;Técnicos, profesionales de apoyo;H;Hombre;>44  ;3
2026;03;12;Castellón/Castelló;053;Chilches/Xilxes;I ;INDUSTRIA;8;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;3
2026;03;03;Alicante/Alacant;096;Onil;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;>44  ;4
2026;03;46;Valencia/València;029;Algemesí;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;3
2026;03;46;Valencia/València;007;Albal;I ;INDUSTRIA;9;Ocupaciones elementales;M;Mujer;25-44;2
2026;03;46;Valencia/València;207;Rafelbunyol;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2026;03;46;Valencia/València;903;San Antonio de Benagéber;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;1
2026;03;03;Alicante/Alacant;128;Teulada;I ;INDUSTRIA;7;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;<25  ;1
2026;03;03;Alicante/Alacant;105;Pinós, el/Pinoso;S ;SERVICIOS;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;2
2026;03;03;Alicante/Alacant;047;Calp;I ;INDUSTRIA;5;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;1
2026;03;46;Valencia/València;156;Llombai;S ;SERVICIOS;9;Ocupaciones elementales;H;Hombre;<25  ;4
